PERSON_AGE,VEHICLE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,PERSON_ID,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
0.4666666666666666,0.0,0.0,01/01/2021,04:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,M,Occupant,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Trapped,Internal,Apparent Death,11ae594f-5608-42af-a305-ed3c92966f6e,Unspecified,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,Crossing With Signal,Killed
0.49166666666666664,0.0,0.0,01/01/2021,04:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,F,Occupant,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Trapped,Internal,Apparent Death,5778eba8-e9d4-4cd4-80e5-d1fdf9bcb443,Unspecified,Driver,Driver,Crossing With Signal,Killed
0.32499999999999996,0.6083710409033074,0.0023342862431334765,02/01/2021,22:00,Head,Lap Belt & Harness,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,Not Ejected,Severe Bleeding,Apparent Death,052c79d8-f5bc-4074-b206-10e0b066b7c4,Unspecified,Driver,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
0.025,0.6083710409033074,0.007856364272051053,04/01/2021,09:00,Head,Lap Belt & Harness,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,Not Ejected,Crush Injuries,Apparent Death,6ae21757-465f-49e3-99e9-649e79ec0103,Unspecified,Driver,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
0.20833333333333334,0.07778664334519192,0.10095016761614772,06/01/2021,14:00,Abdomen - Pelvis,Helmet (Motorcycle Only),M,Bicyclist,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Not Ejected,Internal,Apparent Death,b72b1404-cc60-4e20-bf3e-5439933e8598,Unspecified,Driver,Driver,Crossing With Signal,Killed
0.23333333333333334,0.12023219269485708,0.013193344713407384,07/01/2021,00:00,Head,None,M,Bicyclist,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Not Ejected,Internal,Apparent Death,25ce8096-ee92-4e71-b7f9-90e8b546a0af,Unspecified,Riding/Hanging on Outside,Driver,Crossing With Signal,Killed
0.6083333333333334,0.8913704734793697,0.02213972811220799,07/01/2021,12:00,Unknown,Unknown,M,Occupant,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Not Ejected,Internal,Unconscious,5516e552-a60b-4355-9dcd-c44c9f05fcb7,Unspecified,Driver,Driver,Crossing With Signal,Killed
0.125,0.03007285638129531,0.031929333854343156,07/01/2021,14:00,Entire Body,Unknown,M,Occupant,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Ejected,Crush Injuries,Apparent Death,fe15c5e3-03ff-4361-8b52-a8e16ce0104d,Unspecified,Driver,Driver,Crossing With Signal,Killed
0.7083333333333334,0.6083710409033074,0.032392077823253373,13/01/2021,13:00,Head,Lap Belt & Harness,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,Not Ejected,Unknown,Conscious,27c6d261-eaf7-4905-982b-a0125901c018,Unspecified,Driver,Pedestrian,Crossing With Signal,Killed
0.6666666666666667,0.6083710409033074,0.03382144252719854,14/01/2021,15:00,Entire Body,Lap Belt & Harness,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Not Ejected,Complaint of Pain or Nausea,Apparent Death,8914628e-0494-4d6d-8d7d-d36abc5a5a73,Alcohol Involvement,Driver,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
